recordId,fanId,points,transactionType,referenceId,timestamp,description
LP_000101,FAN_00102,305,EARN,REF_101,2026-05-13 10:56:00,Purchase reward points
LP_000102,FAN_00103,130,REDEEM,REF_102,2024-11-24 01:34:20,Points redeemed for discount
LP_000103,FAN_00104,822,REDEEM,REF_103,2025-12-18 19:46:21,Points redeemed for discount
LP_000104,FAN_00105,727,REDEEM,REF_104,2025-08-17 02:32:22,Points redeemed for discount
LP_000105,FAN_00106,193,EARN,REF_105,2026-10-21 02:29:57,Purchase reward points
LP_000106,FAN_00107,24,REDEEM,REF_106,2024-01-09 03:51:15,Points redeemed for discount
LP_000107,FAN_00108,778,EARN,REF_107,2025-11-21 10:35:51,Purchase reward points
LP_000108,FAN_00109,439,EARN,REF_108,2024-05-26 14:48:50,Purchase reward points
LP_000109,FAN_00110,394,EARN,REF_109,2024-04-06 12:24:25,Purchase reward points
LP_000110,FAN_00111,610,EARN,REF_110,2025-02-08 13:31:21,Purchase reward points
LP_000111,FAN_00112,289,EARN,REF_111,2026-12-12 16:16:41,Purchase reward points
LP_000112,FAN_00113,550,REDEEM,REF_112,2024-12-20 16:21:17,Points redeemed for discount
LP_000113,FAN_00114,244,EARN,REF_113,2025-09-08 20:15:58,Purchase reward points
LP_000114,FAN_00115,839,EARN,REF_114,2024-03-02 13:53:01,Purchase reward points
LP_000115,FAN_00116,592,REDEEM,REF_115,2025-10-20 04:00:52,Points redeemed for discount
LP_000116,FAN_00117,31,EARN,REF_116,2026-07-08 08:44:51,Purchase reward points
LP_000117,FAN_00118,788,EARN,REF_117,2025-04-14 16:13:22,Purchase reward points
LP_000118,FAN_00119,977,EARN,REF_118,2024-01-05 17:10:39,Purchase reward points
LP_000119,FAN_00120,66,EARN,REF_119,2024-05-24 23:14:00,Purchase reward points
LP_000120,FAN_00121,160,EARN,REF_120,2026-02-22 16:52:46,Purchase reward points
LP_000121,FAN_00122,552,REDEEM,REF_121,2024-03-08 12:10:53,Points redeemed for discount
LP_000122,FAN_00123,683,EARN,REF_122,2024-05-26 06:27:39,Purchase reward points
LP_000123,FAN_00124,999,EARN,REF_123,2026-09-07 19:19:40,Purchase reward points
LP_000124,FAN_00125,774,EARN,REF_124,2025-08-16 18:02:15,Purchase reward points
LP_000125,FAN_00126,43,EARN,REF_125,2025-05-19 04:04:31,Purchase reward points
LP_000126,FAN_00127,589,EARN,REF_126,2024-10-27 12:22:35,Purchase reward points
LP_000127,FAN_00128,797,EARN,REF_127,2026-04-13 08:43:47,Purchase reward points
LP_000128,FAN_00129,717,EARN,REF_128,2026-02-10 14:58:54,Purchase reward points
LP_000129,FAN_00130,620,EARN,REF_129,2026-09-24 21:47:02,Purchase reward points
LP_000130,FAN_00131,315,REDEEM,REF_130,2024-10-21 18:36:54,Points redeemed for discount
LP_000131,FAN_00132,433,EARN,REF_131,2025-01-22 20:14:07,Purchase reward points
LP_000132,FAN_00133,347,REDEEM,REF_132,2024-07-16 16:48:08,Points redeemed for discount
LP_000133,FAN_00134,341,EARN,REF_133,2025-07-19 02:26:12,Purchase reward points
LP_000134,FAN_00135,985,EARN,REF_134,2026-12-13 04:15:57,Purchase reward points
LP_000135,FAN_00136,232,EARN,REF_135,2025-05-05 22:35:44,Purchase reward points
LP_000136,FAN_00137,713,EARN,REF_136,2026-04-24 16:53:32,Purchase reward points
LP_000137,FAN_00138,230,EARN,REF_137,2025-02-27 16:20:41,Purchase reward points
LP_000138,FAN_00139,200,REDEEM,REF_138,2025-04-24 10:33:47,Points redeemed for discount
LP_000139,FAN_00140,11,EARN,REF_139,2024-01-15 22:06:07,Purchase reward points
LP_000140,FAN_00141,71,EARN,REF_140,2025-08-12 02:07:53,Purchase reward points
LP_000141,FAN_00142,54,EARN,REF_141,2026-07-15 15:50:44,Purchase reward points
LP_000142,FAN_00143,14,REDEEM,REF_142,2026-01-24 13:02:06,Points redeemed for discount
LP_000143,FAN_00144,272,EARN,REF_143,2024-10-16 21:19:36,Purchase reward points
LP_000144,FAN_00145,141,EARN,REF_144,2025-10-27 06:00:58,Purchase reward points
LP_000145,FAN_00146,899,EARN,REF_145,2024-12-13 05:07:55,Purchase reward points
LP_000146,FAN_00147,335,EARN,REF_146,2024-04-21 10:51:41,Purchase reward points
LP_000147,FAN_00148,277,REDEEM,REF_147,2025-02-28 12:39:46,Points redeemed for discount
LP_000148,FAN_00149,489,EARN,REF_148,2024-07-07 10:31:33,Purchase reward points
LP_000149,FAN_00150,597,EARN,REF_149,2026-12-27 07:42:01,Purchase reward points
LP_000150,FAN_00151,509,REDEEM,REF_150,2024-01-13 08:01:20,Points redeemed for discount
LP_000151,FAN_00152,979,EARN,REF_151,2025-03-19 03:52:39,Purchase reward points
LP_000152,FAN_00153,233,EARN,REF_152,2025-03-11 18:23:02,Purchase reward points
LP_000153,FAN_00154,844,EARN,REF_153,2025-12-12 23:21:08,Purchase reward points
LP_000154,FAN_00155,202,REDEEM,REF_154,2026-06-21 21:53:56,Points redeemed for discount
LP_000155,FAN_00156,389,EARN,REF_155,2025-10-10 07:18:17,Purchase reward points
LP_000156,FAN_00157,326,EARN,REF_156,2025-12-11 01:09:21,Purchase reward points
LP_000157,FAN_00158,222,EARN,REF_157,2026-08-08 04:46:28,Purchase reward points
LP_000158,FAN_00159,763,EARN,REF_158,2024-01-25 19:17:23,Purchase reward points
LP_000159,FAN_00160,204,REDEEM,REF_159,2025-01-25 16:11:33,Points redeemed for discount
LP_000160,FAN_00161,165,EARN,REF_160,2026-04-15 09:54:34,Purchase reward points
LP_000161,FAN_00162,277,EARN,REF_161,2024-05-03 18:30:28,Purchase reward points
LP_000162,FAN_00163,357,EARN,REF_162,2025-01-19 10:57:41,Purchase reward points
LP_000163,FAN_00164,589,EARN,REF_163,2025-02-02 06:32:21,Purchase reward points
LP_000164,FAN_00165,714,EARN,REF_164,2024-04-16 22:54:17,Purchase reward points
LP_000165,FAN_00166,963,EARN,REF_165,2024-10-12 15:38:07,Purchase reward points
LP_000166,FAN_00167,295,EARN,REF_166,2025-05-28 23:16:58,Purchase reward points
LP_000167,FAN_00168,776,REDEEM,REF_167,2025-05-25 23:58:56,Points redeemed for discount
LP_000168,FAN_00169,167,EARN,REF_168,2026-10-17 08:04:55,Purchase reward points
LP_000169,FAN_00170,11,EARN,REF_169,2025-05-26 14:59:23,Purchase reward points
LP_000170,FAN_00171,39,EARN,REF_170,2024-08-07 10:30:00,Purchase reward points
LP_000171,FAN_00172,992,EARN,REF_171,2024-01-23 23:57:30,Purchase reward points
LP_000172,FAN_00173,777,EARN,REF_172,2024-06-10 07:47:11,Purchase reward points
LP_000173,FAN_00174,769,EARN,REF_173,2024-11-25 11:40:59,Purchase reward points
LP_000174,FAN_00175,899,EARN,REF_174,2026-01-23 13:07:20,Purchase reward points
LP_000175,FAN_00176,270,REDEEM,REF_175,2026-08-13 04:01:14,Points redeemed for discount
LP_000176,FAN_00177,491,EARN,REF_176,2024-10-18 00:54:43,Purchase reward points
LP_000177,FAN_00178,758,REDEEM,REF_177,2025-12-23 03:15:43,Points redeemed for discount
LP_000178,FAN_00179,259,EARN,REF_178,2024-06-09 15:40:04,Purchase reward points
LP_000179,FAN_00180,657,REDEEM,REF_179,2026-12-09 20:18:38,Points redeemed for discount
LP_000180,FAN_00181,628,EARN,REF_180,2024-11-04 21:52:18,Purchase reward points
LP_000181,FAN_00182,516,EARN,REF_181,2026-11-22 06:56:37,Purchase reward points
LP_000182,FAN_00183,337,REDEEM,REF_182,2025-01-08 00:06:48,Points redeemed for discount
LP_000183,FAN_00184,705,EARN,REF_183,2026-06-04 21:33:09,Purchase reward points
LP_000184,FAN_00185,90,EARN,REF_184,2024-03-17 10:11:34,Purchase reward points
LP_000185,FAN_00186,812,EARN,REF_185,2024-06-14 03:28:50,Purchase reward points
LP_000186,FAN_00187,533,EARN,REF_186,2024-07-18 07:57:01,Purchase reward points
LP_000187,FAN_00188,117,EARN,REF_187,2026-10-27 17:49:04,Purchase reward points
LP_000188,FAN_00189,724,EARN,REF_188,2025-08-01 11:55:51,Purchase reward points
LP_000189,FAN_00190,560,REDEEM,REF_189,2026-02-28 01:05:54,Points redeemed for discount
LP_000190,FAN_00191,458,EARN,REF_190,2024-08-23 22:36:24,Purchase reward points
LP_000191,FAN_00192,450,EARN,REF_191,2026-09-17 03:36:55,Purchase reward points
LP_000192,FAN_00193,803,REDEEM,REF_192,2025-08-08 02:59:12,Points redeemed for discount
LP_000193,FAN_00194,570,REDEEM,REF_193,2025-02-25 21:36:18,Points redeemed for discount
LP_000194,FAN_00195,285,EARN,REF_194,2025-03-15 14:28:33,Purchase reward points
LP_000195,FAN_00196,387,REDEEM,REF_195,2024-03-02 18:44:10,Points redeemed for discount
LP_000196,FAN_00197,838,EARN,REF_196,2026-07-27 14:44:11,Purchase reward points
LP_000197,FAN_00198,190,REDEEM,REF_197,2026-02-21 12:26:57,Points redeemed for discount
LP_000198,FAN_00199,600,EARN,REF_198,2024-07-24 22:01:41,Purchase reward points
LP_000199,FAN_00200,150,EARN,REF_199,2024-04-25 16:43:01,Purchase reward points
LP_000200,FAN_00201,261,REDEEM,REF_200,2024-10-09 08:06:25,Points redeemed for discount
LP_000201,FAN_00202,562,EARN,REF_201,2026-11-08 07:25:19,Purchase reward points
LP_000202,FAN_00203,602,EARN,REF_202,2026-10-11 14:13:02,Purchase reward points
LP_000203,FAN_00204,387,EARN,REF_203,2024-03-28 15:02:45,Purchase reward points
LP_000204,FAN_00205,831,EARN,REF_204,2026-10-12 22:40:35,Purchase reward points
LP_000205,FAN_00206,629,EARN,REF_205,2024-01-12 05:54:38,Purchase reward points
LP_000206,FAN_00207,765,EARN,REF_206,2026-03-10 02:52:25,Purchase reward points
LP_000207,FAN_00208,185,REDEEM,REF_207,2024-10-16 01:50:30,Points redeemed for discount
LP_000208,FAN_00209,578,REDEEM,REF_208,2026-01-28 02:19:23,Points redeemed for discount
LP_000209,FAN_00210,996,EARN,REF_209,2025-08-22 16:39:05,Purchase reward points
LP_000210,FAN_00211,90,REDEEM,REF_210,2026-10-07 18:21:38,Points redeemed for discount
LP_000211,FAN_00212,762,REDEEM,REF_211,2026-05-17 02:44:54,Points redeemed for discount
LP_000212,FAN_00213,930,EARN,REF_212,2025-10-23 04:28:58,Purchase reward points
LP_000213,FAN_00214,385,EARN,REF_213,2025-01-03 00:34:58,Purchase reward points
LP_000214,FAN_00215,245,EARN,REF_214,2026-02-03 14:49:38,Purchase reward points
LP_000215,FAN_00216,61,EARN,REF_215,2026-06-20 19:42:47,Purchase reward points
LP_000216,FAN_00217,624,EARN,REF_216,2025-04-11 18:35:35,Purchase reward points
LP_000217,FAN_00218,253,EARN,REF_217,2024-09-13 14:33:20,Purchase reward points
LP_000218,FAN_00219,625,EARN,REF_218,2024-10-25 14:25:02,Purchase reward points
LP_000219,FAN_00220,159,EARN,REF_219,2025-06-16 21:57:08,Purchase reward points
LP_000220,FAN_00221,892,REDEEM,REF_220,2025-04-17 18:00:19,Points redeemed for discount
LP_000221,FAN_00222,241,REDEEM,REF_221,2024-05-10 21:58:15,Points redeemed for discount
LP_000222,FAN_00223,387,EARN,REF_222,2026-02-14 15:18:33,Purchase reward points
LP_000223,FAN_00224,62,EARN,REF_223,2024-02-28 15:50:09,Purchase reward points
LP_000224,FAN_00225,471,EARN,REF_224,2026-08-20 06:17:23,Purchase reward points
LP_000225,FAN_00226,901,EARN,REF_225,2026-06-26 11:48:21,Purchase reward points
LP_000226,FAN_00227,956,REDEEM,REF_226,2024-02-07 01:40:29,Points redeemed for discount
LP_000227,FAN_00228,49,EARN,REF_227,2025-09-11 05:50:02,Purchase reward points
LP_000228,FAN_00229,749,EARN,REF_228,2025-11-06 05:58:32,Purchase reward points
LP_000229,FAN_00230,196,EARN,REF_229,2024-10-10 07:56:27,Purchase reward points
LP_000230,FAN_00231,634,EARN,REF_230,2025-02-15 21:27:44,Purchase reward points
LP_000231,FAN_00232,915,REDEEM,REF_231,2026-02-26 15:49:48,Points redeemed for discount
LP_000232,FAN_00233,958,EARN,REF_232,2024-12-02 10:29:05,Purchase reward points
LP_000233,FAN_00234,744,EARN,REF_233,2024-08-14 23:26:44,Purchase reward points
LP_000234,FAN_00235,349,EARN,REF_234,2024-04-03 11:07:42,Purchase reward points
LP_000235,FAN_00236,766,REDEEM,REF_235,2026-10-22 11:13:00,Points redeemed for discount
LP_000236,FAN_00237,40,EARN,REF_236,2025-08-03 13:38:27,Purchase reward points
LP_000237,FAN_00238,182,EARN,REF_237,2025-09-15 09:59:25,Purchase reward points
LP_000238,FAN_00239,275,EARN,REF_238,2024-10-03 09:31:19,Purchase reward points
LP_000239,FAN_00240,258,EARN,REF_239,2025-11-25 08:14:20,Purchase reward points
LP_000240,FAN_00241,35,EARN,REF_240,2024-03-17 00:39:38,Purchase reward points
LP_000241,FAN_00242,282,EARN,REF_241,2024-01-02 19:48:37,Purchase reward points
LP_000242,FAN_00243,293,EARN,REF_242,2026-12-10 07:10:46,Purchase reward points
LP_000243,FAN_00244,260,EARN,REF_243,2024-01-15 16:14:47,Purchase reward points
LP_000244,FAN_00245,230,EARN,REF_244,2026-12-11 11:05:15,Purchase reward points
LP_000245,FAN_00246,118,EARN,REF_245,2024-01-28 00:45:09,Purchase reward points
LP_000246,FAN_00247,591,EARN,REF_246,2024-03-26 06:26:16,Purchase reward points
LP_000247,FAN_00248,916,EARN,REF_247,2024-11-07 08:48:47,Purchase reward points
LP_000248,FAN_00249,405,REDEEM,REF_248,2025-12-21 16:48:47,Points redeemed for discount
LP_000249,FAN_00250,228,REDEEM,REF_249,2024-06-19 17:40:05,Points redeemed for discount
LP_000250,FAN_00251,928,EARN,REF_250,2024-05-26 01:34:59,Purchase reward points
LP_000251,FAN_00252,459,REDEEM,REF_251,2024-05-21 06:13:03,Points redeemed for discount
LP_000252,FAN_00253,642,EARN,REF_252,2026-09-08 10:00:55,Purchase reward points
LP_000253,FAN_00254,197,EARN,REF_253,2024-03-11 05:01:02,Purchase reward points
LP_000254,FAN_00255,326,EARN,REF_254,2024-11-02 03:54:02,Purchase reward points
LP_000255,FAN_00256,325,EARN,REF_255,2025-01-27 07:49:00,Purchase reward points
LP_000256,FAN_00257,28,REDEEM,REF_256,2024-12-12 07:13:32,Points redeemed for discount
LP_000257,FAN_00258,491,EARN,REF_257,2025-08-06 23:38:41,Purchase reward points
LP_000258,FAN_00259,243,REDEEM,REF_258,2026-09-06 16:46:38,Points redeemed for discount
LP_000259,FAN_00260,666,EARN,REF_259,2026-03-27 03:37:02,Purchase reward points
LP_000260,FAN_00261,118,EARN,REF_260,2025-05-09 15:11:22,Purchase reward points
LP_000261,FAN_00262,537,EARN,REF_261,2024-11-26 10:37:23,Purchase reward points
LP_000262,FAN_00263,919,EARN,REF_262,2025-01-23 23:00:49,Purchase reward points
LP_000263,FAN_00264,188,EARN,REF_263,2026-03-28 07:26:56,Purchase reward points
LP_000264,FAN_00265,411,EARN,REF_264,2025-08-22 12:44:19,Purchase reward points
LP_000265,FAN_00266,540,REDEEM,REF_265,2026-09-17 11:26:51,Points redeemed for discount
LP_000266,FAN_00267,20,REDEEM,REF_266,2024-12-23 04:12:36,Points redeemed for discount
LP_000267,FAN_00268,321,EARN,REF_267,2024-02-01 07:31:39,Purchase reward points
LP_000268,FAN_00269,559,EARN,REF_268,2026-04-11 08:29:01,Purchase reward points
LP_000269,FAN_00270,655,REDEEM,REF_269,2025-06-15 02:41:41,Points redeemed for discount
LP_000270,FAN_00271,751,EARN,REF_270,2026-07-07 19:15:36,Purchase reward points
LP_000271,FAN_00272,571,EARN,REF_271,2026-09-04 22:21:20,Purchase reward points
LP_000272,FAN_00273,763,EARN,REF_272,2024-04-06 06:07:28,Purchase reward points
LP_000273,FAN_00274,170,EARN,REF_273,2025-01-27 21:37:17,Purchase reward points
LP_000274,FAN_00275,585,EARN,REF_274,2025-09-07 08:18:36,Purchase reward points
LP_000275,FAN_00276,922,EARN,REF_275,2024-02-04 18:07:37,Purchase reward points
LP_000276,FAN_00277,873,EARN,REF_276,2025-06-01 08:24:28,Purchase reward points
LP_000277,FAN_00278,337,EARN,REF_277,2024-04-12 04:21:24,Purchase reward points
LP_000278,FAN_00279,457,EARN,REF_278,2025-10-25 20:13:01,Purchase reward points
LP_000279,FAN_00280,235,REDEEM,REF_279,2024-01-17 08:05:04,Points redeemed for discount
LP_000280,FAN_00281,864,EARN,REF_280,2025-08-23 22:05:12,Purchase reward points
LP_000281,FAN_00282,109,EARN,REF_281,2024-07-07 02:35:31,Purchase reward points
LP_000282,FAN_00283,897,EARN,REF_282,2026-06-11 01:55:58,Purchase reward points
LP_000283,FAN_00284,979,REDEEM,REF_283,2024-03-28 01:22:31,Points redeemed for discount
LP_000284,FAN_00285,100,REDEEM,REF_284,2026-10-18 16:55:28,Points redeemed for discount
LP_000285,FAN_00286,939,REDEEM,REF_285,2026-04-27 14:46:19,Points redeemed for discount
LP_000286,FAN_00287,930,EARN,REF_286,2025-01-27 14:46:12,Purchase reward points
LP_000287,FAN_00288,34,EARN,REF_287,2025-10-22 07:06:39,Purchase reward points
LP_000288,FAN_00289,881,EARN,REF_288,2025-10-21 11:42:53,Purchase reward points
LP_000289,FAN_00290,11,REDEEM,REF_289,2026-08-17 21:23:17,Points redeemed for discount
LP_000290,FAN_00291,618,EARN,REF_290,2026-08-13 13:10:52,Purchase reward points
LP_000291,FAN_00292,952,EARN,REF_291,2026-10-12 00:05:56,Purchase reward points
LP_000292,FAN_00293,230,EARN,REF_292,2026-11-23 07:29:21,Purchase reward points
LP_000293,FAN_00294,66,EARN,REF_293,2024-05-10 19:41:39,Purchase reward points
LP_000294,FAN_00295,154,EARN,REF_294,2024-09-02 01:46:23,Purchase reward points
LP_000295,FAN_00296,528,REDEEM,REF_295,2026-03-02 13:01:58,Points redeemed for discount
LP_000296,FAN_00297,316,EARN,REF_296,2026-01-08 08:20:16,Purchase reward points
LP_000297,FAN_00298,993,EARN,REF_297,2025-08-07 22:34:15,Purchase reward points
LP_000298,FAN_00299,828,EARN,REF_298,2026-04-24 21:59:03,Purchase reward points
LP_000299,FAN_00300,698,EARN,REF_299,2026-08-02 14:12:58,Purchase reward points
LP_000300,FAN_00301,486,EARN,REF_300,2026-07-15 10:32:18,Purchase reward points
LP_000301,FAN_00302,438,EARN,REF_301,2024-01-15 14:54:08,Purchase reward points
LP_000302,FAN_00303,704,EARN,REF_302,2024-09-06 07:36:26,Purchase reward points
LP_000303,FAN_00304,141,EARN,REF_303,2025-02-12 21:23:47,Purchase reward points
