lineupId,matchId,teamName,formation,startingPlayers,substitutes,tactics,createdAt
LINEUP_0017,MATCH_018,Athletico Club,4-3-3,PLAYER_0063;PLAYER_0002;PLAYER_0090;PLAYER_0069;PLAYER_0097;PLAYER_0099;PLAYER_0011;PLAYER_0023;PLAYER_0051;PLAYER_0045;PLAYER_0106,PLAYER_0116;PLAYER_0002;PLAYER_0048;PLAYER_0099;PLAYER_0036;PLAYER_0055;PLAYER_0085,ATTACK,2026-08-27 01:16:20
LINEUP_0018,MATCH_019,City Warriors,4-3-3,PLAYER_0095;PLAYER_0067;PLAYER_0110;PLAYER_0087;PLAYER_0082;PLAYER_0049;PLAYER_0085;PLAYER_0031;PLAYER_0019;PLAYER_0086;PLAYER_0030,PLAYER_0097;PLAYER_0066;PLAYER_0104;PLAYER_0096;PLAYER_0040;PLAYER_0101;PLAYER_0084,ATTACK,2025-02-10 05:33:57
LINEUP_0019,MATCH_020,Real United,4-3-3,PLAYER_0027;PLAYER_0085;PLAYER_0013;PLAYER_0052;PLAYER_0074;PLAYER_0029;PLAYER_0067;PLAYER_0022;PLAYER_0083;PLAYER_0006;PLAYER_0066,PLAYER_0105;PLAYER_0037;PLAYER_0054;PLAYER_0116;PLAYER_0068;PLAYER_0109;PLAYER_0110,ATTACK,2026-06-17 07:39:35
LINEUP_0020,MATCH_021,Wanderers FC,4-3-3,PLAYER_0080;PLAYER_0065;PLAYER_0101;PLAYER_0061;PLAYER_0035;PLAYER_0012;PLAYER_0096;PLAYER_0092;PLAYER_0066;PLAYER_0043;PLAYER_0015,PLAYER_0111;PLAYER_0055;PLAYER_0110;PLAYER_0009;PLAYER_0115;PLAYER_0028;PLAYER_0039,ATTACK,2026-07-09 23:42:59
LINEUP_0021,MATCH_022,City Warriors,4-3-3,PLAYER_0108;PLAYER_0064;PLAYER_0041;PLAYER_0036;PLAYER_0035;PLAYER_0028;PLAYER_0040;PLAYER_0018;PLAYER_0039;PLAYER_0092;PLAYER_0069,PLAYER_0077;PLAYER_0014;PLAYER_0090;PLAYER_0040;PLAYER_0053;PLAYER_0049;PLAYER_0119,ATTACK,2025-11-17 07:49:11
LINEUP_0022,MATCH_023,Athletico Club,4-3-3,PLAYER_0077;PLAYER_0069;PLAYER_0047;PLAYER_0101;PLAYER_0084;PLAYER_0022;PLAYER_0108;PLAYER_0002;PLAYER_0097;PLAYER_0112;PLAYER_0042,PLAYER_0022;PLAYER_0051;PLAYER_0047;PLAYER_0112;PLAYER_0018;PLAYER_0050;PLAYER_0034,ATTACK,2024-11-01 22:55:43
LINEUP_0023,MATCH_024,Dynasty FC,4-3-3,PLAYER_0067;PLAYER_0074;PLAYER_0082;PLAYER_0070;PLAYER_0111;PLAYER_0100;PLAYER_0013;PLAYER_0116;PLAYER_0095;PLAYER_0118;PLAYER_0110,PLAYER_0076;PLAYER_0058;PLAYER_0083;PLAYER_0101;PLAYER_0001;PLAYER_0014;PLAYER_0045,ATTACK,2025-06-21 19:33:27
LINEUP_0024,MATCH_025,Wanderers FC,4-3-3,PLAYER_0055;PLAYER_0070;PLAYER_0086;PLAYER_0078;PLAYER_0037;PLAYER_0081;PLAYER_0113;PLAYER_0049;PLAYER_0053;PLAYER_0047;PLAYER_0111,PLAYER_0101;PLAYER_0009;PLAYER_0109;PLAYER_0099;PLAYER_0057;PLAYER_0008;PLAYER_0038,ATTACK,2025-04-27 18:05:52
LINEUP_0025,MATCH_026,Sporting FC,4-3-3,PLAYER_0073;PLAYER_0049;PLAYER_0004;PLAYER_0101;PLAYER_0011;PLAYER_0003;PLAYER_0037;PLAYER_0035;PLAYER_0113;PLAYER_0058;PLAYER_0109,PLAYER_0026;PLAYER_0089;PLAYER_0028;PLAYER_0085;PLAYER_0109;PLAYER_0052;PLAYER_0039,ATTACK,2026-10-04 09:28:11
LINEUP_0026,MATCH_027,Athletic FC,4-3-3,PLAYER_0103;PLAYER_0098;PLAYER_0036;PLAYER_0003;PLAYER_0093;PLAYER_0032;PLAYER_0048;PLAYER_0105;PLAYER_0040;PLAYER_0102;PLAYER_0118,PLAYER_0097;PLAYER_0114;PLAYER_0108;PLAYER_0034;PLAYER_0029;PLAYER_0091;PLAYER_0083,ATTACK,2025-12-16 07:37:28
LINEUP_0027,MATCH_028,Athletico Club,4-3-3,PLAYER_0067;PLAYER_0050;PLAYER_0061;PLAYER_0021;PLAYER_0075;PLAYER_0057;PLAYER_0088;PLAYER_0041;PLAYER_0001;PLAYER_0081;PLAYER_0003,PLAYER_0053;PLAYER_0115;PLAYER_0088;PLAYER_0004;PLAYER_0112;PLAYER_0013;PLAYER_0044,ATTACK,2024-03-25 04:04:03
LINEUP_0028,MATCH_029,Thunder FC,4-3-3,PLAYER_0074;PLAYER_0065;PLAYER_0109;PLAYER_0100;PLAYER_0031;PLAYER_0094;PLAYER_0106;PLAYER_0010;PLAYER_0111;PLAYER_0080;PLAYER_0067,PLAYER_0067;PLAYER_0096;PLAYER_0006;PLAYER_0004;PLAYER_0024;PLAYER_0078;PLAYER_0038,ATTACK,2026-02-16 20:48:40
LINEUP_0029,MATCH_030,Thunder FC,4-3-3,PLAYER_0002;PLAYER_0069;PLAYER_0051;PLAYER_0064;PLAYER_0047;PLAYER_0067;PLAYER_0087;PLAYER_0070;PLAYER_0021;PLAYER_0035;PLAYER_0024,PLAYER_0088;PLAYER_0004;PLAYER_0061;PLAYER_0105;PLAYER_0015;PLAYER_0095;PLAYER_0119,ATTACK,2024-01-26 23:47:28
LINEUP_0030,MATCH_031,City Warriors,4-3-3,PLAYER_0020;PLAYER_0120;PLAYER_0098;PLAYER_0090;PLAYER_0093;PLAYER_0114;PLAYER_0076;PLAYER_0049;PLAYER_0086;PLAYER_0118;PLAYER_0030,PLAYER_0074;PLAYER_0025;PLAYER_0091;PLAYER_0104;PLAYER_0011;PLAYER_0026;PLAYER_0012,ATTACK,2025-09-08 12:44:32

