transactionId,timestamp,type,amount,description,referenceId,category,processedBy,reconciled
TXN_000025,2025-04-14 14:50:14,MERCHANDISE_PURCHASE,36395.23,Cost of goods purchased for resale,REF_25,EXPENSE,admin,false
TXN_000026,2024-01-25 01:08:35,TICKET_PURCHASE,6011.76,Ticket purchase revenue,REF_26,REVENUE,admin,false
TXN_000027,2024-04-22 19:27:23,MARKETING_EXPENSE,29626.83,Marketing and advertising expenditure,REF_27,EXPENSE,admin,true
TXN_000028,2024-03-19 19:17:29,PRIZE_MONEY,36591.63,Tournament prize money,REF_28,REVENUE,admin,true
TXN_000029,2024-06-08 20:11:43,BROADCASTING_REVENUE,78461.98,TV broadcasting rights revenue,REF_29,REVENUE,admin,true
TXN_000030,2024-10-10 20:08:14,INSURANCE_EXPENSE,19043.29,Club and player insurance premiums,REF_30,EXPENSE,admin,false
TXN_000031,2024-12-03 18:29:49,BROADCASTING_REVENUE,50134.66,TV broadcasting rights revenue,REF_31,REVENUE,admin,true
TXN_000032,2025-02-09 20:30:25,MERCHANDISE_PURCHASE,48039.93,Cost of goods purchased for resale,REF_32,EXPENSE,admin,true
TXN_000033,2026-06-10 07:53:12,MERCHANDISE_PURCHASE,14372.49,Cost of goods purchased for resale,REF_33,EXPENSE,admin,false
TXN_000034,2026-06-24 16:31:27,MARKETING_EXPENSE,19896.26,Marketing and advertising expenditure,REF_34,EXPENSE,admin,true
TXN_000035,2025-01-06 06:30:55,TICKET_PURCHASE,52291.73,Ticket purchase revenue,REF_35,REVENUE,admin,true
TXN_000036,2024-05-06 10:36:58,MARKETING_EXPENSE,49692.70,Marketing and advertising expenditure,REF_36,EXPENSE,admin,true
TXN_000037,2025-11-14 14:42:55,SALARY_PAYMENT,36299.43,Staff and player salary payments,REF_37,EXPENSE,admin,true
TXN_000038,2026-05-18 13:07:30,UTILITY_EXPENSE,10274.47,Utility bills (electricity, water, etc.),REF_38,EXPENSE,admin,true
TXN_000039,2025-09-03 14:50:43,UTILITY_EXPENSE,18970.01,Utility bills (electricity, water, etc.),REF_39,EXPENSE,admin,false
TXN_000040,2024-10-07 01:36:20,SPONSORSHIP_INCOME,61122.57,Sponsorship and partnership income,REF_40,REVENUE,admin,false
TXN_000041,2024-01-21 19:52:22,INSURANCE_EXPENSE,46201.07,Club and player insurance premiums,REF_41,EXPENSE,admin,true
TXN_000042,2025-03-05 05:43:47,MARKETING_EXPENSE,11701.40,Marketing and advertising expenditure,REF_42,EXPENSE,admin,false
TXN_000043,2025-11-12 22:13:36,SPONSORSHIP_INCOME,31783.56,Sponsorship and partnership income,REF_43,REVENUE,admin,true
TXN_000044,2025-02-01 04:54:59,MERCHANDISE_SALE,48013.54,Merchandise sale revenue,REF_44,REVENUE,admin,true
TXN_000045,2026-11-10 14:39:02,PRIZE_MONEY,9910.23,Tournament prize money,REF_45,REVENUE,admin,false
TXN_000046,2025-01-26 05:20:46,MERCHANDISE_PURCHASE,13258.63,Cost of goods purchased for resale,REF_46,EXPENSE,admin,true
TXN_000047,2024-09-13 06:20:27,MERCHANDISE_SALE,48651.91,Merchandise sale revenue,REF_47,REVENUE,admin,true
TXN_000048,2024-01-19 13:02:21,SALARY_PAYMENT,15414.80,Staff and player salary payments,REF_48,EXPENSE,admin,true
TXN_000049,2025-05-16 23:39:41,SALARY_PAYMENT,24580.46,Staff and player salary payments,REF_49,EXPENSE,admin,false
TXN_000050,2026-06-03 08:09:34,SALARY_PAYMENT,34459.00,Staff and player salary payments,REF_50,EXPENSE,admin,true
TXN_000051,2025-08-26 02:45:06,MERCHANDISE_PURCHASE,24212.69,Cost of goods purchased for resale,REF_51,EXPENSE,admin,false
TXN_000052,2024-06-05 15:43:01,MERCHANDISE_PURCHASE,40236.62,Cost of goods purchased for resale,REF_52,EXPENSE,admin,true
TXN_000053,2026-08-09 16:23:28,MERCHANDISE_SALE,16236.84,Merchandise sale revenue,REF_53,REVENUE,admin,false
TXN_000054,2024-10-10 06:33:07,MERCHANDISE_SALE,32762.26,Merchandise sale revenue,REF_54,REVENUE,admin,true
TXN_000055,2024-01-06 06:01:24,BROADCASTING_REVENUE,38021.26,TV broadcasting rights revenue,REF_55,REVENUE,admin,false
TXN_000056,2026-09-11 04:18:00,BROADCASTING_REVENUE,55840.64,TV broadcasting rights revenue,REF_56,REVENUE,admin,true
TXN_000057,2026-09-25 22:56:50,INSURANCE_EXPENSE,17256.76,Club and player insurance premiums,REF_57,EXPENSE,admin,true
TXN_000058,2025-08-18 02:48:47,MERCHANDISE_SALE,64421.77,Merchandise sale revenue,REF_58,REVENUE,admin,true
TXN_000059,2026-11-17 21:10:21,TICKET_PURCHASE,21253.96,Ticket purchase revenue,REF_59,REVENUE,admin,true
TXN_000060,2025-05-11 03:24:25,UTILITY_EXPENSE,11933.85,Utility bills (electricity, water, etc.),REF_60,EXPENSE,admin,true
TXN_000061,2024-11-01 12:53:21,BROADCASTING_REVENUE,70795.03,TV broadcasting rights revenue,REF_61,REVENUE,admin,false
TXN_000062,2025-04-15 18:50:39,MERCHANDISE_PURCHASE,4642.37,Cost of goods purchased for resale,REF_62,EXPENSE,admin,true
TXN_000063,2026-04-15 06:49:56,PRIZE_MONEY,80893.99,Tournament prize money,REF_63,REVENUE,admin,true
TXN_000064,2026-03-27 18:02:42,PRIZE_MONEY,86554.35,Tournament prize money,REF_64,REVENUE,admin,true
TXN_000065,2024-06-07 20:03:55,MARKETING_EXPENSE,31492.38,Marketing and advertising expenditure,REF_65,EXPENSE,admin,true
TXN_000066,2026-12-12 07:56:42,MARKETING_EXPENSE,598.54,Marketing and advertising expenditure,REF_66,EXPENSE,admin,true
TXN_000067,2025-05-12 19:11:03,TICKET_PURCHASE,87050.22,Ticket purchase revenue,REF_67,REVENUE,admin,true
TXN_000068,2026-01-28 01:15:13,MARKETING_EXPENSE,11581.27,Marketing and advertising expenditure,REF_68,EXPENSE,admin,true
TXN_000069,2026-01-19 09:02:24,SPONSORSHIP_INCOME,72661.76,Sponsorship and partnership income,REF_69,REVENUE,admin,true
TXN_000070,2025-01-20 20:30:19,TICKET_PURCHASE,49888.00,Ticket purchase revenue,REF_70,REVENUE,admin,false
TXN_000071,2025-05-24 06:55:46,MERCHANDISE_SALE,6212.49,Merchandise sale revenue,REF_71,REVENUE,admin,true
TXN_000072,2024-12-09 00:16:22,MERCHANDISE_SALE,66750.96,Merchandise sale revenue,REF_72,REVENUE,admin,true
TXN_000073,2025-03-21 21:35:15,INSURANCE_EXPENSE,42537.88,Club and player insurance premiums,REF_73,EXPENSE,admin,false
TXN_000074,2026-07-23 12:01:09,PRIZE_MONEY,70927.69,Tournament prize money,REF_74,REVENUE,admin,true
TXN_000075,2026-07-10 17:41:00,SPONSORSHIP_INCOME,49627.75,Sponsorship and partnership income,REF_75,REVENUE,admin,true
TXN_000076,2024-08-03 15:38:06,TICKET_PURCHASE,81672.66,Ticket purchase revenue,REF_76,REVENUE,admin,true
TXN_000077,2025-11-18 11:46:43,MARKETING_EXPENSE,22112.43,Marketing and advertising expenditure,REF_77,EXPENSE,admin,false
TXN_000078,2026-09-20 20:59:54,SALARY_PAYMENT,38139.32,Staff and player salary payments,REF_78,EXPENSE,admin,true
TXN_000079,2024-02-16 17:09:00,SPONSORSHIP_INCOME,2960.84,Sponsorship and partnership income,REF_79,REVENUE,admin,false
TXN_000080,2024-06-06 03:20:29,PRIZE_MONEY,47155.82,Tournament prize money,REF_80,REVENUE,admin,false
TXN_000081,2025-10-09 09:48:29,UTILITY_EXPENSE,18187.45,Utility bills (electricity, water, etc.),REF_81,EXPENSE,admin,true
TXN_000082,2024-10-05 16:05:18,BROADCASTING_REVENUE,22985.87,TV broadcasting rights revenue,REF_82,REVENUE,admin,true
TXN_000083,2024-09-10 08:06:16,SPONSORSHIP_INCOME,22406.25,Sponsorship and partnership income,REF_83,REVENUE,admin,true
TXN_000084,2025-12-21 00:39:02,INSURANCE_EXPENSE,26901.95,Club and player insurance premiums,REF_84,EXPENSE,admin,false
TXN_000085,2024-11-14 22:58:49,BROADCASTING_REVENUE,63617.20,TV broadcasting rights revenue,REF_85,REVENUE,admin,true
TXN_000086,2026-05-01 10:29:33,INSURANCE_EXPENSE,41989.87,Club and player insurance premiums,REF_86,EXPENSE,admin,true
TXN_000087,2025-03-16 05:51:13,MERCHANDISE_PURCHASE,6323.42,Cost of goods purchased for resale,REF_87,EXPENSE,admin,false
TXN_000088,2026-09-07 18:01:35,PRIZE_MONEY,51240.50,Tournament prize money,REF_88,REVENUE,admin,true
TXN_000089,2024-10-10 10:05:38,TICKET_PURCHASE,67812.91,Ticket purchase revenue,REF_89,REVENUE,admin,false
TXN_000090,2026-04-14 05:06:28,INSURANCE_EXPENSE,45948.96,Club and player insurance premiums,REF_90,EXPENSE,admin,true
TXN_000091,2025-08-20 10:36:20,UTILITY_EXPENSE,24291.57,Utility bills (electricity, water, etc.),REF_91,EXPENSE,admin,true
TXN_000092,2025-08-13 06:31:29,SALARY_PAYMENT,34520.96,Staff and player salary payments,REF_92,EXPENSE,admin,true
TXN_000093,2026-01-03 15:06:02,PRIZE_MONEY,71059.45,Tournament prize money,REF_93,REVENUE,admin,false
TXN_000094,2024-02-26 23:32:23,INSURANCE_EXPENSE,48591.92,Club and player insurance premiums,REF_94,EXPENSE,admin,true
TXN_000095,2025-10-09 09:30:32,SALARY_PAYMENT,44496.09,Staff and player salary payments,REF_95,EXPENSE,admin,true
TXN_000096,2025-03-12 14:40:46,SALARY_PAYMENT,38448.24,Staff and player salary payments,REF_96,EXPENSE,admin,true
TXN_000097,2024-11-28 04:46:02,SALARY_PAYMENT,27525.33,Staff and player salary payments,REF_97,EXPENSE,admin,true
TXN_000098,2024-03-12 05:17:40,BROADCASTING_REVENUE,22607.18,TV broadcasting rights revenue,REF_98,REVENUE,admin,false
TXN_000099,2024-04-26 19:20:24,SALARY_PAYMENT,16760.49,Staff and player salary payments,REF_99,EXPENSE,admin,false
TXN_000100,2024-10-20 02:38:46,SALARY_PAYMENT,10589.94,Staff and player salary payments,REF_100,EXPENSE,admin,false
TXN_000101,2026-10-06 17:14:26,BROADCASTING_REVENUE,46919.49,TV broadcasting rights revenue,REF_101,REVENUE,admin,true
TXN_000102,2026-04-18 09:37:24,PRIZE_MONEY,24730.01,Tournament prize money,REF_102,REVENUE,admin,false
TXN_000103,2026-02-07 05:42:59,MERCHANDISE_SALE,6771.77,Merchandise sale revenue,REF_103,REVENUE,admin,true
TXN_000104,2024-11-23 10:30:44,MARKETING_EXPENSE,1840.26,Marketing and advertising expenditure,REF_104,EXPENSE,admin,false
TXN_000105,2024-09-21 12:16:30,MERCHANDISE_PURCHASE,23915.33,Cost of goods purchased for resale,REF_105,EXPENSE,admin,false
TXN_000106,2024-12-06 15:09:57,MARKETING_EXPENSE,41057.81,Marketing and advertising expenditure,REF_106,EXPENSE,admin,false
TXN_000107,2025-10-05 00:21:51,TICKET_PURCHASE,23496.73,Ticket purchase revenue,REF_107,REVENUE,admin,true
TXN_000108,2026-01-22 08:00:12,INSURANCE_EXPENSE,47725.56,Club and player insurance premiums,REF_108,EXPENSE,admin,false
TXN_000109,2025-11-16 22:30:46,BROADCASTING_REVENUE,8772.33,TV broadcasting rights revenue,REF_109,REVENUE,admin,true
TXN_000110,2026-05-02 06:44:04,UTILITY_EXPENSE,13000.30,Utility bills (electricity, water, etc.),REF_110,EXPENSE,admin,false
TXN_000111,2026-03-10 14:58:52,BROADCASTING_REVENUE,2130.99,TV broadcasting rights revenue,REF_111,REVENUE,admin,true
TXN_000112,2024-03-14 18:33:27,MERCHANDISE_SALE,17379.11,Merchandise sale revenue,REF_112,REVENUE,admin,true
TXN_000113,2024-08-04 09:13:08,MARKETING_EXPENSE,8889.54,Marketing and advertising expenditure,REF_113,EXPENSE,admin,true
TXN_000114,2024-10-08 17:31:50,BROADCASTING_REVENUE,48415.20,TV broadcasting rights revenue,REF_114,REVENUE,admin,true
TXN_000115,2024-11-27 11:36:22,BROADCASTING_REVENUE,38586.41,TV broadcasting rights revenue,REF_115,REVENUE,admin,false
TXN_000116,2026-02-06 05:51:59,TICKET_PURCHASE,38306.21,Ticket purchase revenue,REF_116,REVENUE,admin,false
TXN_000117,2026-07-20 09:35:41,MARKETING_EXPENSE,39691.65,Marketing and advertising expenditure,REF_117,EXPENSE,admin,true
TXN_000118,2025-01-03 05:28:26,SPONSORSHIP_INCOME,74033.37,Sponsorship and partnership income,REF_118,REVENUE,admin,true
TXN_000119,2024-11-06 07:24:31,BROADCASTING_REVENUE,2453.80,TV broadcasting rights revenue,REF_119,REVENUE,admin,true
TXN_000120,2025-11-12 05:32:34,PRIZE_MONEY,12821.15,Tournament prize money,REF_120,REVENUE,admin,true
TXN_000121,2026-12-23 06:47:25,PRIZE_MONEY,53363.24,Tournament prize money,REF_121,REVENUE,admin,true
TXN_000122,2025-09-24 13:07:02,MERCHANDISE_SALE,20900.57,Merchandise sale revenue,REF_122,REVENUE,admin,true
TXN_000123,2024-07-01 21:23:35,UTILITY_EXPENSE,27441.31,Utility bills (electricity, water, etc.),REF_123,EXPENSE,admin,false
TXN_000124,2026-08-26 01:14:10,MERCHANDISE_SALE,31900.59,Merchandise sale revenue,REF_124,REVENUE,admin,true
TXN_000125,2026-12-07 03:53:20,SALARY_PAYMENT,28416.82,Staff and player salary payments,REF_125,EXPENSE,admin,false
TXN_000126,2024-10-05 17:13:50,TICKET_PURCHASE,41731.63,Ticket purchase revenue,REF_126,REVENUE,admin,true
TXN_000127,2024-03-25 07:48:33,TICKET_PURCHASE,30385.90,Ticket purchase revenue,REF_127,REVENUE,admin,true
TXN_000128,2024-11-19 20:06:34,PRIZE_MONEY,61645.15,Tournament prize money,REF_128,REVENUE,admin,false
TXN_000129,2025-06-25 05:29:30,SPONSORSHIP_INCOME,8769.04,Sponsorship and partnership income,REF_129,REVENUE,admin,true
TXN_000130,2026-08-16 06:05:31,BROADCASTING_REVENUE,79054.64,TV broadcasting rights revenue,REF_130,REVENUE,admin,false
TXN_000131,2024-11-24 18:33:36,BROADCASTING_REVENUE,18931.06,TV broadcasting rights revenue,REF_131,REVENUE,admin,true
TXN_000132,2025-01-07 23:23:08,MARKETING_EXPENSE,945.37,Marketing and advertising expenditure,REF_132,EXPENSE,admin,false
TXN_000133,2026-01-27 02:37:29,MERCHANDISE_PURCHASE,1903.54,Cost of goods purchased for resale,REF_133,EXPENSE,admin,false
TXN_000134,2026-03-04 23:01:06,TICKET_PURCHASE,33437.78,Ticket purchase revenue,REF_134,REVENUE,admin,true
TXN_000135,2024-10-17 09:35:06,SPONSORSHIP_INCOME,42657.21,Sponsorship and partnership income,REF_135,REVENUE,admin,false
TXN_000136,2026-01-13 03:22:43,SPONSORSHIP_INCOME,81472.13,Sponsorship and partnership income,REF_136,REVENUE,admin,true
TXN_000137,2026-01-26 12:39:10,PRIZE_MONEY,73886.03,Tournament prize money,REF_137,REVENUE,admin,true
TXN_000138,2025-04-25 17:49:41,PRIZE_MONEY,33323.99,Tournament prize money,REF_138,REVENUE,admin,true
TXN_000139,2024-06-01 16:13:16,TICKET_PURCHASE,76447.12,Ticket purchase revenue,REF_139,REVENUE,admin,true
TXN_000140,2024-12-17 18:57:09,BROADCASTING_REVENUE,56812.15,TV broadcasting rights revenue,REF_140,REVENUE,admin,true
TXN_000141,2024-11-22 02:58:47,INSURANCE_EXPENSE,49790.49,Club and player insurance premiums,REF_141,EXPENSE,admin,true
TXN_000142,2025-02-22 21:55:02,SPONSORSHIP_INCOME,76184.76,Sponsorship and partnership income,REF_142,REVENUE,admin,true
TXN_000143,2026-08-08 15:41:51,TICKET_PURCHASE,92700.83,Ticket purchase revenue,REF_143,REVENUE,admin,true
TXN_000144,2024-02-02 13:37:02,MARKETING_EXPENSE,11244.55,Marketing and advertising expenditure,REF_144,EXPENSE,admin,true
TXN_000145,2024-02-20 03:37:14,BROADCASTING_REVENUE,43235.60,TV broadcasting rights revenue,REF_145,REVENUE,admin,true
TXN_000146,2024-09-17 23:55:13,BROADCASTING_REVENUE,6266.90,TV broadcasting rights revenue,REF_146,REVENUE,admin,false
TXN_000147,2026-07-15 00:24:32,PRIZE_MONEY,78567.44,Tournament prize money,REF_147,REVENUE,admin,false
TXN_000148,2026-11-04 16:06:36,MARKETING_EXPENSE,1119.91,Marketing and advertising expenditure,REF_148,EXPENSE,admin,false
TXN_000149,2026-11-22 08:18:56,MERCHANDISE_SALE,43203.47,Merchandise sale revenue,REF_149,REVENUE,admin,true
TXN_000150,2024-03-10 19:46:01,MARKETING_EXPENSE,4563.95,Marketing and advertising expenditure,REF_150,EXPENSE,admin,true
TXN_000151,2026-12-05 21:18:00,SPONSORSHIP_INCOME,99384.44,Sponsorship and partnership income,REF_151,REVENUE,admin,false
TXN_000152,2024-03-10 17:26:34,BROADCASTING_REVENUE,31214.90,TV broadcasting rights revenue,REF_152,REVENUE,admin,true
TXN_000153,2025-08-06 04:16:35,BROADCASTING_REVENUE,61053.60,TV broadcasting rights revenue,REF_153,REVENUE,admin,true
TXN_000154,2025-09-25 15:35:56,UTILITY_EXPENSE,19949.19,Utility bills (electricity, water, etc.),REF_154,EXPENSE,admin,true
TXN_000155,2025-04-17 19:33:55,INSURANCE_EXPENSE,18503.26,Club and player insurance premiums,REF_155,EXPENSE,admin,true
TXN_000156,2024-08-16 00:37:48,SALARY_PAYMENT,48171.15,Staff and player salary payments,REF_156,EXPENSE,admin,true
TXN_000157,2025-01-20 09:31:53,MERCHANDISE_PURCHASE,38801.70,Cost of goods purchased for resale,REF_157,EXPENSE,admin,true
TXN_000158,2026-12-07 19:38:37,BROADCASTING_REVENUE,98411.55,TV broadcasting rights revenue,REF_158,REVENUE,admin,true
TXN_000159,2025-03-10 12:06:19,MERCHANDISE_PURCHASE,13572.98,Cost of goods purchased for resale,REF_159,EXPENSE,admin,true
TXN_000160,2024-01-13 17:36:45,PRIZE_MONEY,30808.58,Tournament prize money,REF_160,REVENUE,admin,false
TXN_000161,2024-07-06 01:54:58,PRIZE_MONEY,6557.84,Tournament prize money,REF_161,REVENUE,admin,false
TXN_000162,2025-10-15 05:13:23,TICKET_PURCHASE,57355.03,Ticket purchase revenue,REF_162,REVENUE,admin,false
TXN_000163,2026-04-02 21:24:36,PRIZE_MONEY,99016.10,Tournament prize money,REF_163,REVENUE,admin,false
TXN_000164,2026-01-22 05:44:29,MERCHANDISE_PURCHASE,41252.08,Cost of goods purchased for resale,REF_164,EXPENSE,admin,true
TXN_000165,2024-11-26 07:52:29,SALARY_PAYMENT,48892.12,Staff and player salary payments,REF_165,EXPENSE,admin,false
TXN_000166,2025-09-18 10:09:19,BROADCASTING_REVENUE,27910.23,TV broadcasting rights revenue,REF_166,REVENUE,admin,true
TXN_000167,2026-02-13 20:18:23,SALARY_PAYMENT,41996.35,Staff and player salary payments,REF_167,EXPENSE,admin,false
TXN_000168,2025-07-01 23:48:18,TICKET_PURCHASE,39518.04,Ticket purchase revenue,REF_168,REVENUE,admin,true
TXN_000169,2026-04-24 01:56:40,MERCHANDISE_SALE,35227.97,Merchandise sale revenue,REF_169,REVENUE,admin,false
TXN_000170,2026-03-13 07:42:39,BROADCASTING_REVENUE,72473.78,TV broadcasting rights revenue,REF_170,REVENUE,admin,false
TXN_000171,2024-02-19 04:18:16,INSURANCE_EXPENSE,14421.22,Club and player insurance premiums,REF_171,EXPENSE,admin,true
TXN_000172,2026-06-07 03:03:10,MERCHANDISE_PURCHASE,5348.07,Cost of goods purchased for resale,REF_172,EXPENSE,admin,false
TXN_000173,2024-02-19 04:07:42,MERCHANDISE_PURCHASE,31673.65,Cost of goods purchased for resale,REF_173,EXPENSE,admin,true
TXN_000174,2024-04-23 06:31:14,MERCHANDISE_PURCHASE,29974.63,Cost of goods purchased for resale,REF_174,EXPENSE,admin,false
TXN_000175,2025-11-09 01:40:41,MERCHANDISE_PURCHASE,46725.71,Cost of goods purchased for resale,REF_175,EXPENSE,admin,true
TXN_000176,2024-01-10 16:36:46,MERCHANDISE_SALE,43373.19,Merchandise sale revenue,REF_176,REVENUE,admin,false
TXN_000177,2025-03-26 12:43:14,SALARY_PAYMENT,12675.52,Staff and player salary payments,REF_177,EXPENSE,admin,true
TXN_000178,2024-06-16 21:49:20,TICKET_PURCHASE,28833.12,Ticket purchase revenue,REF_178,REVENUE,admin,true
TXN_000179,2025-07-24 10:44:25,MERCHANDISE_SALE,44119.73,Merchandise sale revenue,REF_179,REVENUE,admin,true
TXN_000180,2026-11-07 06:44:45,MERCHANDISE_SALE,4740.63,Merchandise sale revenue,REF_180,REVENUE,admin,false
TXN_000181,2026-03-24 13:34:46,SALARY_PAYMENT,33587.61,Staff and player salary payments,REF_181,EXPENSE,admin,true
TXN_000182,2025-03-04 00:14:50,TICKET_PURCHASE,67930.73,Ticket purchase revenue,REF_182,REVENUE,admin,true
TXN_000183,2025-07-08 14:43:26,MERCHANDISE_SALE,65372.92,Merchandise sale revenue,REF_183,REVENUE,admin,true
TXN_000184,2026-01-06 03:40:25,BROADCASTING_REVENUE,3876.53,TV broadcasting rights revenue,REF_184,REVENUE,admin,false
TXN_000185,2026-12-19 17:22:25,MARKETING_EXPENSE,48225.47,Marketing and advertising expenditure,REF_185,EXPENSE,admin,true
TXN_000186,2026-10-09 14:30:24,BROADCASTING_REVENUE,33739.96,TV broadcasting rights revenue,REF_186,REVENUE,admin,true
TXN_000187,2024-12-16 14:29:44,MERCHANDISE_PURCHASE,24598.52,Cost of goods purchased for resale,REF_187,EXPENSE,admin,true
TXN_000188,2026-12-16 15:44:16,TICKET_PURCHASE,19084.57,Ticket purchase revenue,REF_188,REVENUE,admin,false
TXN_000189,2025-11-02 08:00:38,INSURANCE_EXPENSE,12764.91,Club and player insurance premiums,REF_189,EXPENSE,admin,false
TXN_000190,2025-06-16 17:22:51,UTILITY_EXPENSE,8105.93,Utility bills (electricity, water, etc.),REF_190,EXPENSE,admin,true
TXN_000191,2026-09-08 12:29:59,INSURANCE_EXPENSE,39094.85,Club and player insurance premiums,REF_191,EXPENSE,admin,true
TXN_000192,2026-03-17 08:16:32,SPONSORSHIP_INCOME,28362.27,Sponsorship and partnership income,REF_192,REVENUE,admin,true
TXN_000193,2024-02-19 22:39:34,INSURANCE_EXPENSE,25300.16,Club and player insurance premiums,REF_193,EXPENSE,admin,true
TXN_000194,2026-09-26 07:22:14,TICKET_PURCHASE,83537.11,Ticket purchase revenue,REF_194,REVENUE,admin,true
TXN_000195,2026-01-08 23:27:31,INSURANCE_EXPENSE,11821.61,Club and player insurance premiums,REF_195,EXPENSE,admin,true
TXN_000196,2025-07-23 00:47:00,INSURANCE_EXPENSE,13335.50,Club and player insurance premiums,REF_196,EXPENSE,admin,true
TXN_000197,2026-07-16 05:38:38,PRIZE_MONEY,59962.17,Tournament prize money,REF_197,REVENUE,admin,false
TXN_000198,2026-04-17 22:17:53,MARKETING_EXPENSE,20911.48,Marketing and advertising expenditure,REF_198,EXPENSE,admin,true
TXN_000199,2025-01-09 12:46:10,TICKET_PURCHASE,48533.66,Ticket purchase revenue,REF_199,REVENUE,admin,true
TXN_000200,2024-06-14 19:03:58,INSURANCE_EXPENSE,6104.17,Club and player insurance premiums,REF_200,EXPENSE,admin,true
TXN_000201,2026-06-19 08:55:59,UTILITY_EXPENSE,35742.95,Utility bills (electricity, water, etc.),REF_201,EXPENSE,admin,true
TXN_000202,2024-03-01 21:08:48,TICKET_PURCHASE,72141.69,Ticket purchase revenue,REF_202,REVENUE,admin,true
TXN_000203,2024-10-25 09:06:43,MARKETING_EXPENSE,13204.72,Marketing and advertising expenditure,REF_203,EXPENSE,admin,true
TXN_000204,2026-06-05 13:44:05,BROADCASTING_REVENUE,59043.53,TV broadcasting rights revenue,REF_204,REVENUE,admin,true
TXN_000205,2024-08-04 16:32:18,SALARY_PAYMENT,47704.38,Staff and player salary payments,REF_205,EXPENSE,admin,true
TXN_000206,2024-06-25 06:56:27,BROADCASTING_REVENUE,88472.38,TV broadcasting rights revenue,REF_206,REVENUE,admin,true
TXN_000207,2025-10-06 16:36:59,UTILITY_EXPENSE,33678.09,Utility bills (electricity, water, etc.),REF_207,EXPENSE,admin,true
TXN_000208,2026-10-03 16:09:24,INSURANCE_EXPENSE,29157.86,Club and player insurance premiums,REF_208,EXPENSE,admin,true
TXN_000209,2026-01-18 22:01:12,MERCHANDISE_SALE,35330.34,Merchandise sale revenue,REF_209,REVENUE,admin,true
